"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
44520,"2013-05-09 21:23:37","2013-01-22 15:23:02","2012-08-21 21:57:00","2012-05-10 17:04:13","2012-01-30 00:14:41","2011-08-15 20:46:00","Yes","Yes","Yes","Yes","Yes","Yes","Not sure","Not sure","Decrease","Decrease","Decrease","Not sure","Be kept the same","Not sure","Decrease","Decrease","Be kept the same","Not sure","5","5","5","6","5","4","Legal","Legal","Legal","Legal","Legal","Legal","Neither agree nor disagree","Not Sure","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree"
13896,"","","","2012-05-18 14:31:51","2012-02-26 17:16:26","2011-08-15 15:23:00","","","","Yes","Yes","Yes","","","","Increase","Increase","Increase","","","","Be kept the same","Be kept the same","Be kept the same","","","","3","3","4","","","","Not Legal","Not Legal","Not Legal","","","","Strongly diisagree","Disagree","Strongly diisagree"
18420,"2013-05-02 18:20:51","2013-01-28 20:19:51","2012-08-20 10:51:38","2012-05-20 13:01:01","2012-01-28 15:55:52","2011-08-15 20:57:00","Yes","Yes","No","No","No","No","Be kept the same","Decrease","Decrease","Increase","Decrease","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Increase","Decrease","Increase","5","2","5","4","3","5","Legal","Legal","Not Legal","Not Legal","Not Legal","Not Legal","Disagree","Strongly diisagree","Disagree","Disagree","Disagree","Disagree"
29914,"2013-05-02 09:17:46","2013-02-04 17:10:44","2012-08-21 10:57:18","2012-06-01 10:15:12","2012-01-28 12:53:52","2011-08-17 09:58:00","Yes","Yes","Yes","Yes","Yes","Yes","Decrease","Be kept the same","Decrease","Be kept the same","Decrease","Decrease","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","5","4","5","4","3","4","Legal","Legal","Legal","Legal","Legal","Legal","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly diisagree"
38823,"2013-05-04 18:11:15","2013-01-30 15:55:17","2012-08-21 20:58:42","2012-05-14 15:53:08","2012-01-29 14:58:49","2011-08-16 22:22:00","No","No","No","No","Not sure","No","Decrease","Decrease","Not sure","Decrease","Decrease","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","6","5","Each Person on Own","6","6","Each Person on Own","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree"
82282,"2013-05-10 16:34:39","2013-02-02 08:52:07","2012-09-14 17:27:59","2012-05-18 22:01:48","2012-02-03 13:22:52","2011-08-16 16:13:00","Yes","Yes","Yes","Yes","Yes","Yes","Decrease","Not sure","Not sure","Be kept the same","Be kept the same","Be kept the same","Not sure","Not sure","Not sure","Increase","Not sure","Decrease","Each Person on Own","","Each Person on Own","4","","","Legal","Legal","Legal","Legal","Legal","Not Legal","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
55594,"","","2012-09-13 20:35:12","","","2011-10-01 13:52:00","","","Not sure","","","Not sure","","","Be kept the same","","","Be kept the same","","","Be kept the same","","","Increase","","","6","","","2","","","Legal","","","Not Legal","","","Disagree","","","Disagree"
25494,"","","2012-09-10 01:54:51","2012-05-18 18:51:27","2012-02-06 13:25:31","2011-08-16 02:07:00","","","Yes","Yes","No","Yes","","","Decrease","Decrease","Decrease","Be kept the same","","","Decrease","Decrease","Decrease","Decrease","","","6","5","5","6","","","Not Legal","Not Sure","Not Sure","Not Legal","","","Strongly agree","Agree","Strongly agree","Agree"
51552,"2013-05-02 15:51:37","2013-01-21 17:30:37","2012-08-25 14:23:19","2012-05-14 19:39:09","2012-03-01 15:32:02","2011-08-31 10:12:00","Yes","Yes","Yes","Yes","Yes","Yes","Be kept the same","Be kept the same","Decrease","Be kept the same","Be kept the same","Decrease","Decrease","Decrease","Decrease","Be kept the same","Decrease","Decrease","6","6","6","6","6","Each Person on Own","Legal","Legal","Not Legal","Legal","Not Legal","Not Legal","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
58909,"2013-05-13 12:16:13","2013-01-21 20:50:47","2012-08-22 16:20:12","2012-05-11 20:40:58","2012-01-29 23:00:27","2011-08-16 13:30:00","Not sure","No","No","Not sure","No","Yes","Not sure","Not sure","Not sure","Not sure","Be kept the same","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Decrease","","4","5","5","3","5","Not Sure","Not Sure","Not Sure","Not Sure","Legal","Not Sure","Not Sure","Neither agree nor disagree","Not Sure","Neither agree nor disagree","Disagree","Neither agree nor disagree"
