,StudentID,SurveyDate,SurveyNr,Question,OpinionSurvey,OpinionSimulation,is_sim_survey
42,76313,2012-02-04 21:42:10,2,marijuana,1,1,1
43,75468,2012-02-04 22:30:22,2,marijuana,0,1,0
44,18344,2012-02-10 19:56:33,2,marijuana,2,1,0
45,11692,2012-02-04 14:15:55,2,marijuana,0,1,0
46,31583,2012-01-29 19:04:30,2,marijuana,1,2,0
47,46771,2012-02-11 22:49:15,2,marijuana,1,1,1
48,23144,2012-02-13 13:17:19,2,marijuana,0,0,1
49,32899,2012-02-03 15:12:19,2,marijuana,0,0,1
50,17353,2012-01-28 16:06:51,2,marijuana,0,0,1
51,63063,2012-02-14 00:03:51,2,marijuana,1,2,0
52,23642,2012-02-14 19:32:56,2,marijuana,0,0,1
53,18420,2012-01-28 15:55:52,2,marijuana,0,0,1
54,31372,2012-02-14 16:14:15,2,marijuana,2,0,0
55,36006,2012-01-28 13:14:24,2,marijuana,0,2,0
56,66245,2012-02-12 16:00:44,2,marijuana,2,2,1
57,30952,2012-02-11 01:53:51,2,marijuana,2,1,0
58,82060,2012-02-22 17:02:54,2,marijuana,0,2,0
59,62560,2012-02-13 11:06:49,2,marijuana,0,2,0
60,49597,2012-02-23 18:21:35,2,marijuana,0,0,1
61,32100,2012-02-22 19:02:16,2,marijuana,2,0,0
62,25544,2012-02-24 15:35:31,2,marijuana,0,2,0
63,67947,2012-02-24 23:10:29,2,marijuana,1,0,0
64,39783,2012-02-25 13:11:52,2,marijuana,0,0,1
65,26425,2012-02-26 02:56:34,2,marijuana,2,0,0
66,68494,2012-02-17 01:53:22,2,marijuana,0,0,1
67,52067,2012-02-12 16:38:16,2,marijuana,1,1,1
68,66052,2012-01-29 17:00:04,2,marijuana,1,1,1
69,19066,2012-02-29 10:38:43,2,marijuana,0,2,0
70,80058,2012-02-23 02:48:21,2,marijuana,2,1,0
71,10281,2012-02-10 18:15:38,2,marijuana,0,0,1
72,50869,2012-01-28 13:31:11,2,marijuana,0,2,0
73,13116,2012-02-29 17:08:16,2,marijuana,2,2,1
74,51597,2012-02-05 16:53:04,2,marijuana,0,0,1
75,51552,2012-03-01 15:32:02,2,marijuana,0,0,1
76,38893,2012-02-03 13:22:55,2,marijuana,0,2,0
77,62555,2012-02-24 01:07:04,2,marijuana,1,1,1
78,52635,2012-01-29 15:29:25,2,marijuana,2,2,1
79,36143,2012-02-03 13:35:09,2,marijuana,2,0,0
80,21350,2012-02-03 12:45:24,2,marijuana,1,2,0
81,66404,2012-01-30 15:17:41,2,marijuana,2,2,1
82,73175,2012-02-03 16:35:27,2,marijuana,1,1,1
83,85970,2012-01-29 12:15:38,2,marijuana,0,0,1
84,26127,2012-02-29 02:07:19,2,marijuana,2,1,0
85,51675,2012-01-28 15:54:58,2,marijuana,2,0,0
86,22745,2012-02-07 18:41:14,2,marijuana,1,1,1
87,34250,2012-02-05 22:17:59,2,marijuana,2,0,0
88,14188,2012-02-11 14:28:50,2,marijuana,0,2,0
89,32174,2012-02-23 22:13:11,2,marijuana,1,2,0
90,50181,2012-02-15 17:27:07,2,marijuana,1,2,0
91,26999,2012-02-24 16:31:19,2,marijuana,2,0,0
92,78966,2012-01-28 21:08:57,2,marijuana,0,0,1
93,46654,2012-02-26 14:34:10,2,marijuana,0,2,0
94,59367,2012-05-09 15:33:21,3,marijuana,0,0,1
95,51722,2012-05-09 19:08:34,3,marijuana,1,0,0
96,85596,2012-05-09 21:00:48,3,marijuana,0,0,1
97,66754,2012-05-09 12:35:46,3,marijuana,1,2,0
98,76313,2012-05-10 08:05:20,3,marijuana,1,2,0
99,72746,2012-05-09 13:21:35,3,marijuana,1,1,1
100,62555,2012-05-10 19:45:29,3,marijuana,2,0,0
